setting,cp_mode,target_coverage,coverage,coverage_gap,avg_width,ces,rcs,point_mse,point_mae,comment
exchange_rate.csv_lags96_modelTransformer_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.8198799199466311,0.0801200800533689,0.35147564530299735,0.445791969616775,0.31122771427371476,0.0539114624555712,0.16412513674621415,| ablation=M0
exchange_rate.csv_lags96_modelTransformer_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.8365577051367579,0.06344229486324215,0.3335295175940598,0.4868898146516731,0.3735594140460954,0.06779150998134857,0.1866939294647756,| ablation=M1
exchange_rate.csv_lags96_modelTransformer_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.8078719146097398,0.09212808539026018,0.31790570380095606,0.43083708333606274,0.2843363397459678,0.03674031122172542,0.1333727963424702,| ablation=M2
exchange_rate.csv_lags96_modelTransformer_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.933288859239493,0.033288859239492985,0.5144856357797832,0.5050811985954323,0.43524828958886425,0.04274812319627006,0.15140131445790456,| ablation=M3
exchange_rate.csv_lags96_modelTransformer_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.9352901934623082,0.03529019346230822,0.5073067656977492,0.5022941695842335,0.42897548135802266,0.0882164732599661,0.21464789080203048,| ablation=M4
exchange_rate.csv_lags96_modelReformer_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.829219479653102,0.07078052034689797,0.22194861183913075,0.5032924032453383,0.385208408171967,0.009942757066533345,0.0770085442129689,| ablation=M0
exchange_rate.csv_lags96_modelReformer_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.8325550366911274,0.06744496330887262,0.19426624372777979,0.5211729034596722,0.409416515175535,0.008632959049088418,0.07246993920468217,| ablation=M1
exchange_rate.csv_lags96_modelReformer_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.8205470313542361,0.0794529686457639,0.22058928543435924,0.4826414149143618,0.3536816910509774,0.011260384979790584,0.07897923462337667,| ablation=M2
exchange_rate.csv_lags96_modelReformer_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.9633088725817212,0.06330887258172113,0.3515483831690361,0.4818863333178064,0.36818056639617586,0.02041572253943676,0.1053083416146274,| ablation=M3
exchange_rate.csv_lags96_modelReformer_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.962641761174116,0.06264176117411602,0.3673793297335386,0.47883197464296234,0.36559783526741135,0.010637029716454558,0.07737632662000718,| ablation=M4
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.8425617078052035,0.05743829219479657,0.1415752785095085,0.5706391904661342,0.477957634564849,0.0024050834478949084,0.036539808614956114,| ablation=M0
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.8632421614409607,0.03675783855903936,0.1333397026356422,0.651355621855242,0.5929777881746734,0.0021073705377602668,0.03393718259150611,| ablation=M1
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.8579052701801201,0.04209472981987994,0.13529576808456217,0.6285005890841999,0.5609790915746088,0.0021655744150571475,0.03456218447971137,| ablation=M2
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.9419613075383589,0.041961307538358916,0.18048050846187175,0.6073208063136163,0.5357138047294646,0.0019572335674184664,0.03251329121994398,| ablation=M3
exchange_rate.csv_lags96_modeliTransformer_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.9613075383589059,0.0613075383589059,0.23616627116728406,0.5235420834543516,0.41764555844624035,0.002095936000293814,0.03385188986366805,| ablation=M4
exchange_rate.csv_lags96_modelPyraformer_cpacp_modeonline_seed0_ABLM0,acp,0.9,0.8619079386257505,0.038092061374249475,0.263760175780832,0.5839033989571633,0.5130558818278248,0.02626372268011212,0.12643163514962225,| ablation=M0
exchange_rate.csv_lags96_modelPyraformer_cpacp_modeonline_seed0_ABLM1,acp,0.9,0.8172114743162108,0.08278852568378925,0.21044419612412085,0.4778905783441916,0.3455299723912449,0.010604380655020266,0.07886155328562383,| ablation=M1
exchange_rate.csv_lags96_modelPyraformer_cpacp_modeonline_seed0_ABLM2,acp,0.9,0.8785857238158773,0.021414276184122727,0.22553515456078024,0.6676617711502334,0.628871577821053,0.014940835612764087,0.09322983916914755,| ablation=M2
exchange_rate.csv_lags96_modelPyraformer_cpacp_modeonline_seed0_ABLM3,acp,0.9,0.9479653102068045,0.0479653102068045,0.3618865043020975,0.5168644482537549,0.4254018808358858,0.03633246377949574,0.1514592336548531,| ablation=M3
exchange_rate.csv_lags96_modelPyraformer_cpacp_modeonline_seed0_ABLM4,acp,0.9,0.9633088725817212,0.06330887258172113,0.415933805396748,0.4637904815237174,0.34860757473707615,0.03284224724427127,0.13794902287435415,| ablation=M4
