t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.27467322049537934,nan,nan,1.0,0.546482332082677
2,nan,nan,nan,0.014611120250346388,0.029222240500692775,nan,nan,0.2838426478814916,0.0045847136930561305,0.009169427386112261,1.0,0.5172600915819843
3,nan,nan,nan,0.015744315597820736,0.018203049818753647,nan,nan,0.2980073805530156,0.009598617237453838,0.011667080028818139,1.0,0.5100762324451698
4,nan,nan,nan,0.049392479216718306,0.053523579100696494,nan,nan,0.28469658590211394,0.008320063830504753,0.012214984902845985,1.0,0.6342408701097519
5,nan,nan,nan,0.058377158840505004,0.08454929178688475,nan,nan,0.28285048128503126,0.007506176338330786,0.009622764831405159,1.0,0.4566144402643024
6,nan,nan,nan,0.053692194011775385,0.08642018530338662,nan,nan,0.277334426884411,0.007397456949447798,0.008801422745248177,1.0,0.5505181996336965
7,nan,nan,nan,0.05855768220064504,0.08431649225534288,nan,nan,0.28285186698466436,0.006853290476261395,0.008254092304415706,1.0,0.6243162266488207
8,nan,nan,nan,0.06394472362503226,0.07569228073425407,nan,nan,0.26969904198287176,0.007862828477827275,0.008953911261183833,1.0,0.648263238256542
9,nan,nan,nan,0.06727254780891342,0.06719184289445183,nan,nan,0.25548895500514807,0.011092286291346738,0.009610933225751316,1.0,0.6559520162723781
10,nan,nan,nan,0.06382457591620913,0.06883461984088962,nan,nan,0.2583125189277429,0.012190633577042418,0.008856781080956147,1.0,0.5739751808599862
11,nan,nan,nan,0.06629505319467327,0.07087971049000961,nan,nan,0.26443662883846186,0.012152542858547678,0.008583513963932431,1.0,0.6632607071920759
12,nan,nan,nan,0.07034486115320966,0.06684948725315734,nan,nan,0.26583443734087264,0.011947508000540367,0.00793026801288501,1.0,0.6898079620767105
13,nan,nan,nan,0.07230967588132199,0.06162023233683724,nan,nan,0.27884481504951275,0.011528400102204859,0.008353610487531268,1.0,0.6857095338193944
14,nan,nan,nan,0.11540469880403152,0.07750706574827991,nan,nan,0.28058650849679845,0.011197118421181268,0.007845001484435454,1.0,0.9538586005049863
15,nan,nan,nan,0.1560648662514025,0.07954976980137084,nan,nan,0.28341429427582987,0.010994643776761745,0.007486628934049452,1.0,1.0599635229965392
16,nan,nan,nan,0.15215664127706666,0.10639585840491662,nan,nan,0.28928412390764946,0.011116496144430658,0.007378842313900794,1.0,0.5777224241419816
17,nan,nan,nan,0.14844836590895796,0.0998846577845082,nan,nan,0.27582662470927644,0.010787459477955032,0.007758758369180309,1.0,0.5799390726203633
18,nan,nan,nan,0.14707119496730905,0.10504959003303287,nan,nan,0.2714096071133648,0.010556595348446598,0.007562185382517445,1.0,0.7676275786297908
19,nan,nan,nan,0.14479715382827585,0.10034131186804462,nan,nan,0.28818406520772194,0.010599897269081037,0.008073978310952983,1.0,0.7473269955665462
20,nan,nan,nan,0.141159440809566,0.1006118422604828,nan,nan,0.28071884440984907,0.010360973947066114,0.008041938441843503,1.0,0.6418456062421765
21,nan,nan,nan,0.13778962451509433,0.09566007386143141,nan,nan,0.2754559560578131,0.010119021634575382,0.007902985937353127,1.0,0.6402691319627214
22,nan,nan,nan,0.1346222959556963,0.09164106606912392,nan,nan,0.2757325039323061,0.009891264909411973,0.007539822220074073,1.0,0.6515300421856957
23,nan,nan,nan,0.13309631430638202,0.09172862641701104,nan,nan,0.26905513060021574,0.00981397684375797,0.007500619997892994,1.0,0.5579626484630553
24,nan,nan,nan,0.13030037301413036,0.09143179585429649,nan,nan,0.26297975284933334,0.009996724928634326,0.007438652943675143,1.0,0.6428641719376318
25,nan,nan,nan,0.12768519370293985,0.08781256071357912,nan,nan,0.2727848085084904,0.009817989425957333,0.007537253056820223,1.0,0.6382940194605518
26,nan,nan,nan,0.1257538769622456,0.08632651657141156,nan,nan,0.27205993383799143,0.009658509196499054,0.007264757921367373,1.0,0.5876325623011616
27,nan,nan,nan,0.12431191881531554,0.08380625095205924,nan,nan,0.2569556609017487,0.010133202404250717,0.0075662777296318096,1.0,0.5668329518329107
28,nan,nan,nan,0.12388680569903704,0.08208546823397037,nan,nan,0.24518852483396822,0.011406302475302617,0.007721865075489168,1.0,0.5294878342692508
29,nan,nan,nan,0.12272075827294672,0.08003185504114652,nan,nan,0.21172628795752468,0.015981224619698683,0.008641164068380395,1.0,0.5540721331041536
30,nan,nan,nan,0.1224100291381737,0.07839963841958811,nan,nan,0.19861701348721136,0.020504715006609598,0.00879523684086084,1.0,0.5213745600882012
31,nan,nan,nan,0.12214323225520146,0.07593974252240268,nan,nan,0.21126110293922767,0.022649234184567945,0.008923531927899356,1.0,0.516771798584176
32,nan,nan,nan,0.12165471665488382,0.07364870891791098,nan,nan,0.2121882704101236,0.0242936733455321,0.008665584687350859,1.0,0.5216894993673358
33,nan,nan,nan,0.12034493939650268,0.07249823528926803,nan,nan,0.202367658658929,0.026288419020123112,0.008701679283095974,1.0,0.558523052168673
34,nan,nan,nan,0.11978190486587868,0.07139378372391955,nan,nan,0.2172046575008739,0.027079900319584183,0.008887598057606548,1.0,0.5224717185359049
35,nan,nan,nan,0.11845105786638889,0.07047357800573736,nan,nan,0.21587601375540075,0.02780421755780183,0.008665275871955565,1.0,0.5625785078416297
36,nan,nan,nan,0.11697689761019867,0.06892980096515036,nan,nan,0.21023753996571673,0.028671155648532454,0.008578795812462093,1.0,0.5790198894268221
37,nan,nan,nan,0.11629356121780474,0.06842628615771978,nan,nan,0.21050947132263667,0.029392801020252966,0.008348049577585922,1.0,0.5282166215291724
38,nan,nan,nan,0.11514917000916751,0.06731825997808585,nan,nan,0.24464795699887687,0.0290887699832157,0.009045088391063064,1.0,0.5556459390404367
39,nan,nan,nan,0.11526460220421693,0.0672070771943958,nan,nan,0.24644366448554178,0.028773359316105307,0.008854315209368375,1.0,0.4925526248425729
40,nan,nan,nan,0.11400279678670584,0.06743494934376158,nan,nan,0.24766275968191584,0.028456221510839094,0.008658540337240317,1.0,0.5686467158622346
41,nan,nan,nan,0.11285682469730159,0.06595074787342187,nan,nan,0.2537491048476237,0.02811343117148584,0.008594235457952005,1.0,0.5605798253320624
42,nan,nan,nan,0.11169474996584161,0.06446637414829298,nan,nan,0.27811114824139493,0.027953276677851475,0.00897881613931345,1.0,0.5656712504751995
43,nan,nan,nan,0.11109540559531741,0.06391677592689327,nan,nan,0.2525259948377095,0.027638762011633063,0.009374205121798498,1.0,0.5242880016256941
44,nan,nan,nan,0.11037770537711537,0.06259600059411687,nan,nan,0.235232002785556,0.027530910804649,0.009558386213202102,1.0,0.5314114382432027
45,nan,nan,nan,0.10986159875777668,0.0614625976815482,nan,nan,0.24239822292684726,0.027312761307205703,0.009504018802476855,1.0,0.5186851658021072
46,nan,nan,nan,0.10999768150438627,0.06085463350756001,nan,nan,0.25252738756057,0.027022303514703305,0.009517910932060098,1.0,0.48458095595002737
47,nan,nan,nan,0.10958074899067986,0.06008465354714359,nan,nan,0.2530658191419331,0.026739168211901986,0.009322704859218859,1.0,0.5100165112784321
48,nan,nan,nan,0.10980490125368877,0.05952502909756105,nan,nan,0.25568186029409035,0.026459712825574033,0.009180009886728185,1.0,0.47623420686166806
49,nan,nan,nan,0.11109449725884718,0.05920893761356397,nan,nan,0.2584519004933593,0.026189309964375396,0.009046468851572785,1.0,0.4318815689959672
50,nan,nan,nan,0.11083005768877906,0.059258994494511406,nan,nan,0.2617338377334367,0.02593500748009928,0.00892882534929737,1.0,0.4935432937759556
51,nan,nan,nan,0.11014866680332018,0.05862361295168316,nan,nan,0.27456331370686327,0.02579501708808234,0.009006838361779953,1.0,0.5210332111290548
52,nan,nan,nan,0.10912913998105964,0.05834539375641957,nan,nan,0.2833317550175412,0.025794362664157546,0.00900216390979756,1.0,0.5654676451222946
53,nan,nan,nan,0.108446737372331,0.05802830038157114,nan,nan,0.2887610050492055,0.025894363338296308,0.008933454027525767,1.0,0.5236111068579936
54,nan,nan,nan,0.1086784552659095,0.05803708146543224,nan,nan,0.2948758779474832,0.02612046796468182,0.00888027325150222,1.0,0.46511740903178445
