t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.25009832349536315,nan,nan,1.0,0.12048223341563125
2,nan,nan,nan,0.004185606827557087,0.008371213655114174,nan,nan,0.24120405554369456,0.004447133975834294,0.008894267951668589,0.0,0.11211101976051707
3,nan,nan,nan,0.008817506612445018,0.014899749889667913,nan,nan,0.26180116457749725,0.008434752135857149,0.014745688492735637,1.0,0.13353930588473872
4,nan,nan,nan,0.008018767436606108,0.01564881130440125,nan,nan,0.2654164378744661,0.00959902234479714,0.011035550094146715,1.0,0.1163923717508708
5,nan,nan,nan,0.009189883805945437,0.014267977001494403,nan,nan,0.26781355720624606,0.010075812245150651,0.00887594240355502,1.0,0.10626689765809694
6,nan,nan,nan,0.008716591393180864,0.014982710885226513,nan,nan,0.2662613919070689,0.009789707588927821,0.007411186982679452,1.0,0.12410854407825189
7,nan,nan,nan,0.00876845705031374,0.013237026756301487,nan,nan,0.26514255861542996,0.009334146631301058,0.00636246136750603,1.0,0.12861715018992825
8,nan,nan,nan,0.008871784436214824,0.011606572263615864,nan,nan,0.25720927865096327,0.008769346924881516,0.006586864024214696,1.0,0.13044099549743038
9,nan,nan,nan,0.008472694206882283,0.010736933973216956,nan,nan,0.2585050210048385,0.008272270140416276,0.005925473815422265,1.0,0.1257915295570058
10,nan,nan,nan,0.008373874154468896,0.009989264928108662,nan,nan,0.2599222028754794,0.007850185184678808,0.005424552488224333,1.0,0.1297994421242481
11,nan,nan,nan,0.00852507134134482,0.010734260349127566,nan,nan,0.2445849841820555,0.008602869163415369,0.006415819108744292,0.0,0.11236022298595039
12,nan,nan,nan,0.010183061145059132,0.012620245694313172,nan,nan,0.2469569442624161,0.0087835741611495,0.006048195560709412,1.0,0.1438403221321196
13,nan,nan,nan,0.009807783135357566,0.01303603472141629,nan,nan,0.24955915431238662,0.008673457393092741,0.005761030101481171,1.0,0.12623060811256903
14,nan,nan,nan,0.00945706346968018,0.012115799003933251,nan,nan,0.2399942214157061,0.009376631765067756,0.006053638008804199,1.0,0.12515763771843225
15,nan,nan,nan,0.009141359566284571,0.011251179306069923,nan,nan,0.2461616302919727,0.009342262663935867,0.006061764499337228,0.0,0.12514651448458558
16,nan,nan,nan,0.008969564387918938,0.010826124951516958,nan,nan,0.2462574473789385,0.009274050547506168,0.0056640346718458,1.0,0.13002187847236102
17,nan,nan,nan,0.008840271129616594,0.010211815181896566,nan,nan,0.244710289129308,0.009268980352261603,0.0054067298954573444,1.0,0.13101904710995171
18,nan,nan,nan,0.008783828316023557,0.0104477060654304,nan,nan,0.24991179830335186,0.009047863331027582,0.005394658088315374,1.0,0.11679708690797996
19,nan,nan,nan,0.009066975562338772,0.011037490745181221,nan,nan,0.25319193277518176,0.008806687203066429,0.005277184554066182,1.0,0.13786091720892513
20,nan,nan,nan,0.008837764043206638,0.01111122152160008,nan,nan,0.2468086066988855,0.00870327154609394,0.005335402528920397,1.0,0.12542254171178557
21,nan,nan,nan,0.008743226335896827,0.010874808622549626,nan,nan,0.24318859523241454,0.008750607423757,0.005249632975797924,1.0,0.13180550525237655
22,nan,nan,nan,0.008831289593245573,0.01117474083399457,nan,nan,0.24669282471683765,0.008637649717536463,0.005166518523827695,1.0,0.1146321201894831
23,nan,nan,nan,0.00929765377146709,0.011900747577092868,nan,nan,0.24431785402308748,0.008604583080875208,0.005039629986096899,1.0,0.14177900937164023
24,nan,nan,nan,0.010060656111982697,0.013017817639450481,nan,nan,0.24385391089476705,0.008578779156362019,0.0048406870792370525,1.0,0.10418565036032224
25,nan,nan,nan,0.010420448827714455,0.01261345015387775,nan,nan,0.2489464967285161,0.008422112971003011,0.004851182860675052,1.0,0.10749864834602718
26,nan,nan,nan,0.010365440206032884,0.012408816789255565,nan,nan,0.2501770946575016,0.008262721801342429,0.00470635946340747,1.0,0.11499626438435029
27,nan,nan,nan,0.010457659512859485,0.012091313464678347,nan,nan,0.2364968953060329,0.008588313291429813,0.005051507151409825,0.0,0.11084253403410238
28,nan,nan,nan,0.010348723517812419,0.011846668769597,nan,nan,0.23224725358758574,0.009118613530724165,0.005021808431670467,1.0,0.11632844073158433
29,nan,nan,nan,0.010206736057576573,0.011833411402033986,nan,nan,0.23057059639343092,0.009653811246951883,0.004902338744616337,1.0,0.12780390320941692
30,nan,nan,nan,0.010271440785676376,0.011685560620301514,nan,nan,0.23232580538229358,0.009984454121868503,0.004793817028900693,1.0,0.13534964194120924
31,nan,nan,nan,0.010854591036640219,0.012437299200404683,nan,nan,0.23667538194786203,0.010061003023196648,0.0047790090134562846,1.0,0.10111192391781265
32,nan,nan,nan,0.011214233748416654,0.012104730688115139,nan,nan,0.2395729002602607,0.010026694346479206,0.004718315765035072,1.0,0.10323959923724146
33,nan,nan,nan,0.011157690365330597,0.012610413231230189,nan,nan,0.2474476224454401,0.009874765926764022,0.004816953465664582,1.0,0.1315261713050382
34,nan,nan,nan,0.011647562961669461,0.013192553207244712,nan,nan,0.2504712616646124,0.00973535542013436,0.004762610609710271,1.0,0.09970513886532872
35,nan,nan,nan,0.01148296000193758,0.013501570601742533,nan,nan,0.24333843035468344,0.0096317807331935,0.004832322983246116,1.0,0.12340428348549937
36,nan,nan,nan,0.011334295774385864,0.013162554144951332,nan,nan,0.24868475501737586,0.009497365946066151,0.00484700874551601,1.0,0.12504027809954987
37,nan,nan,nan,0.0112763987499975,0.012963364040462314,nan,nan,0.2467745292957561,0.009371143918419197,0.004765431439296669,1.0,0.13103198848289654
38,nan,nan,nan,0.011735737107975616,0.013481360439475603,nan,nan,0.24687553031724258,0.009249436879888292,0.0046393657523288254,1.0,0.09890275767894252
39,nan,nan,nan,0.01158885389993215,0.013777811625027494,nan,nan,0.242499805528395,0.009173849709436755,0.004632427832237214,1.0,0.12364926316938996
40,nan,nan,nan,0.011485465564167848,0.013637782264700181,nan,nan,0.2421944494336938,0.009103951584321507,0.004521477274864495,1.0,0.11533259659712769
41,nan,nan,nan,0.011906162510901134,0.014036402826459038,nan,nan,0.23254174320222293,0.009297979478395389,0.004649757998779655,0.0,0.14491520133218216
42,nan,nan,nan,0.011837211509334478,0.014462391727212236,nan,nan,0.229513286781706,0.009587053125125299,0.004610214057846418,1.0,0.113413253574842
43,nan,nan,nan,0.01170619865839195,0.014253120102443268,nan,nan,0.22963374422663677,0.0098325770482655,0.004503315090872236,1.0,0.11908623706175758
44,nan,nan,nan,0.012429405771818069,0.014566485167185575,nan,nan,0.2084453767188434,0.011266086925338046,0.004891339565684356,0.0,0.09135841917539511
45,nan,nan,nan,0.012369262614305016,0.015126186893047198,nan,nan,0.19930504679054437,0.013079253612797014,0.004987907528471052,0.0,0.13055178028049208
46,nan,nan,nan,0.012686209392201983,0.015096154427472107,nan,nan,0.20573223895441572,0.014133091458898933,0.0050198916314799485,1.0,0.1443265062226602
47,nan,nan,nan,0.012823238550881046,0.014861198743251425,nan,nan,0.188731002709492,0.016090559294216728,0.005280355644815682,1.0,0.14003831326933946
48,nan,nan,nan,0.012904821988416528,0.014574457811837213,nan,nan,0.19038580119112036,0.017590488435645337,0.005203216130705314,1.0,0.138653938302556
49,nan,nan,nan,0.01294324267909286,0.014915315399504511,nan,nan,0.19891829141962947,0.01842860586029905,0.005272576007742893,0.0,0.10771831628268846
50,nan,nan,nan,0.01290789589737029,0.01513478412677503,nan,nan,0.1978304125193158,0.01920863212416397,0.005187174025958623,1.0,0.13338759931844835
51,nan,nan,nan,0.012796650767107747,0.014958556692203327,nan,nan,0.20111139748550194,0.01976578606163016,0.005149050244763174,0.0,0.12706418692025845
