t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.0912962726872146,nan,nan,1.0,0.13071127366015745
2,nan,nan,nan,0.0017767613245984748,0.0035535226491969496,nan,nan,0.07676399089896992,0.007266140894122343,0.014532281788244686,0.0,0.1271577510109605
3,nan,nan,nan,0.010827004213130384,0.014045360005749297,nan,nan,0.07259400303630782,0.008016309090035874,0.00935113482545339,1.0,0.15169494837326214
4,nan,nan,nan,0.010593468337280018,0.018216458868749525,nan,nan,0.0764264578464155,0.0071338275783220835,0.007511574820338152,1.0,0.12513629177851215
5,nan,nan,nan,0.009481018892254672,0.01558744169509807,nan,nan,0.07141448716009875,0.007112461257643003,0.0068866737868328,1.0,0.13283668195265586
6,nan,nan,nan,0.010596761749228004,0.015885310912913786,nan,nan,0.07637232754995595,0.00651155813135043,0.006500907107437679,1.0,0.1499134697368325
7,nan,nan,nan,0.009846315976399553,0.015914931258818193,nan,nan,0.07308071946760347,0.0062217996515778655,0.005966023936590144,1.0,0.13385043674849229
8,nan,nan,nan,0.012737400679696993,0.01773469256835068,nan,nan,0.0745485278170636,0.005869510327727237,0.005323421709857285,1.0,0.1625036971740379
9,nan,nan,nan,0.012440041621514436,0.019718928916761025,nan,nan,0.07169258084824234,0.005741532153892645,0.0050149873672277814,1.0,0.12889511381840446
10,nan,nan,nan,0.012128174176039926,0.019583507389942537,nan,nan,0.07100128198771317,0.005651237953405787,0.004534577533150157,1.0,0.14739524899379908
11,nan,nan,nan,0.011863190996679863,0.019385027377459375,nan,nan,0.07179964540576009,0.005493312809685346,0.004160956121639833,0.0,0.12979654172868815
12,nan,nan,nan,0.011592407725368249,0.019146836513413333,nan,nan,0.07147209832056708,0.005358408721061094,0.0038124643910537577,1.0,0.14656146960164107
13,nan,nan,nan,0.011230172255958761,0.018642083279421313,nan,nan,0.07524421312941638,0.005149148591238612,0.003809101925870053,1.0,0.13347167189613196
14,nan,nan,nan,0.010822118053279007,0.017621051300380327,nan,nan,0.07583890880889244,0.004967725851216571,0.0035618399069166683,1.0,0.13884033944802043
15,nan,nan,nan,0.0104741602736317,0.016568491856142207,nan,nan,0.07353656203151294,0.004812534869255679,0.003471876111949727,0.0,0.13595512036697377
16,nan,nan,nan,0.01262925663055759,0.017694093716014676,nan,nan,0.07413973888970232,0.004663088177281919,0.0032806294950323703,1.0,0.16940764012120302
17,nan,nan,nan,0.0123567822682567,0.018836242599778424,nan,nan,0.07594755650912767,0.004531545573558359,0.0031885787528069314,1.0,0.13343916426496838
18,nan,nan,nan,0.01201047248309303,0.018051773782451628,nan,nan,0.07590104533839964,0.0044099281612156455,0.0030037512479787606,1.0,0.1389394369701913
19,nan,nan,nan,0.011715636239896783,0.017289247625051338,nan,nan,0.07736248234021877,0.004326026871242406,0.0029180671231921144,1.0,0.1432657399194377
20,nan,nan,nan,0.01178047607084864,0.01690610854612274,nan,nan,0.07857382301678051,0.004284872062089968,0.002828239415474726,1.0,0.15327534504484563
21,nan,nan,nan,0.011651117081586048,0.01713603277531469,nan,nan,0.07500311499105998,0.0041819383730618,0.0028653628459870163,1.0,0.13177075191488385
22,nan,nan,nan,0.011481553290186087,0.017065581270029023,nan,nan,0.07635309265160438,0.0040923792364755745,0.002793201646680225,1.0,0.1474273030791995
23,nan,nan,nan,0.011265593865600864,0.0168039043068598,nan,nan,0.0786468653068215,0.0040605744025737096,0.0027705003288864475,1.0,0.13611861499889333
24,nan,nan,nan,0.012065330809860823,0.017322602968686124,nan,nan,0.08061117024439099,0.004107434258928951,0.0027354483553509276,1.0,0.16485258852775853
25,nan,nan,nan,0.012240149039697553,0.01825349143280645,nan,nan,0.07592227119594276,0.004024798623462097,0.0028168421342299817,1.0,0.12518866242018456
26,nan,nan,nan,0.01200712306531108,0.01807560900798526,nan,nan,0.0800296302170404,0.004035038199347207,0.0028684628097046883,1.0,0.1389950932324613
27,nan,nan,nan,0.011899306430714142,0.017654478759570304,nan,nan,0.07907091863965988,0.004006643143116617,0.0027950108392306816,0.0,0.13186887068326492
28,nan,nan,nan,0.011685168791103154,0.017330674507348907,nan,nan,0.0779659892562384,0.003952196800975138,0.0027324152297562667,1.0,0.1407806346328575
29,nan,nan,nan,0.011488395257363547,0.016802194474179712,nan,nan,0.07326562253302606,0.003915885042328285,0.0028026992116654127,1.0,0.13824740105424604
30,nan,nan,nan,0.011299543809092191,0.0162336186028741,nan,nan,0.07535693451451064,0.003851425569873882,0.002778168617521246,1.0,0.13856089526056303
31,nan,nan,nan,0.011365289778565048,0.01608371011765298,nan,nan,0.07943839488191742,0.0038398074028321615,0.002821611675850764,1.0,0.12682453121432258
32,nan,nan,nan,0.011187779813142996,0.016017084216947277,nan,nan,0.07486437610661231,0.0037846942880729794,0.002878140937123485,1.0,0.14084283841009881
33,nan,nan,nan,0.011017473910160423,0.015528911304863363,nan,nan,0.07610938252970996,0.00372696983055013,0.0028271054835601775,1.0,0.1404472873798368
34,nan,nan,nan,0.01158243643361193,0.01580146304769972,nan,nan,0.0805660955704097,0.003752299896757739,0.002876487530746225,1.0,0.11592416856137366
35,nan,nan,nan,0.011415915783019176,0.016029696397300817,nan,nan,0.08186229727605158,0.003819875406518743,0.0028300085358902148,1.0,0.13948556549551072
36,nan,nan,nan,0.011713148799263655,0.01612545820936937,nan,nan,0.08183906416997452,0.0038753538928595413,0.0027498149521812676,1.0,0.15886692531521085
37,nan,nan,nan,0.011778143995509907,0.015817981995850692,nan,nan,0.08270467997458518,0.003955230505304036,0.002697476086970973,1.0,0.1538106107925139
38,nan,nan,nan,0.011906903117799185,0.015456492006046678,nan,nan,0.08284468527166511,0.004028371301403247,0.0026283552548117552,1.0,0.15625346316561606
39,nan,nan,nan,0.01177448568158533,0.015581746973355529,nan,nan,0.07797204087335466,0.003980886818303209,0.002687415495430142,1.0,0.136037282401833
40,nan,nan,nan,0.011626459757026792,0.015286541228603777,nan,nan,0.08208571711771637,0.00401630935637685,0.002723986283864285,1.0,0.14010600532987016
41,nan,nan,nan,0.011930335594377051,0.015421404023161578,nan,nan,0.0784298675554885,0.0039736973198602485,0.002747282865823374,0.0,0.11942495231895434
42,nan,nan,nan,0.011978025543247572,0.01588452717831023,nan,nan,0.07510437369328052,0.0039364435603443755,0.0027613855730522674,1.0,0.1538344057032106
43,nan,nan,nan,0.011916962531158542,0.01604723605399408,nan,nan,0.07938359283713084,0.0039079393570423445,0.002797524467595078,1.0,0.1311161057461787
44,nan,nan,nan,0.011965048879135489,0.016206984579596864,nan,nan,0.08131552450639756,0.003916766641839453,0.0027773944025176744,1.0,0.1540325284010926
45,nan,nan,nan,0.01184018196814241,0.016220873416374557,nan,nan,0.08072090966438378,0.003909904056521906,0.002727785776142586,1.0,0.13721443500327735
46,nan,nan,nan,0.011716784175366868,0.01587061716341435,nan,nan,0.07925374135979787,0.0038791369099372528,0.0026997720545524377,1.0,0.13767377703644268
47,nan,nan,nan,0.011591744174959482,0.015568242497352747,nan,nan,0.07795423883448196,0.003839144214138968,0.002669331412612513,1.0,0.13963515956102324
48,nan,nan,nan,0.011486667536497536,0.01531658762849699,nan,nan,0.08045041826357316,0.0038267333603387342,0.00266564732785674,1.0,0.135894695899891
49,nan,nan,nan,0.01151439607914306,0.015353777431732779,nan,nan,0.0807842139557048,0.003819490330013247,0.0026170670854458004,0.0,0.1529963940837058
50,nan,nan,nan,0.01139972207354705,0.01532104095687444,nan,nan,0.08140013825793994,0.0038230577081134736,0.002576227436808848,1.0,0.13924670392003158
51,nan,nan,nan,0.011287533006843271,0.015043996051107511,nan,nan,0.08538521082848541,0.003942176837981428,0.0026044043394835804,1.0,0.14071549958855956
52,nan,nan,nan,0.011279884167217421,0.014971883821422742,nan,nan,0.0819793643059959,0.00395010131124393,0.00262011889209154,1.0,0.1293492272513752
53,nan,nan,nan,0.011173161167686765,0.014900618592097169,nan,nan,0.08584501137413303,0.004067084607175256,0.0026440713570154936,1.0,0.14061531914786807
54,nan,nan,nan,0.011425655168008714,0.015006718027220863,nan,nan,0.0844316759765826,0.004126083619737252,0.0026208499238180396,1.0,0.16113920780152102
55,nan,nan,nan,0.011380615976409263,0.015271387920315625,nan,nan,0.08251416641057516,0.00413339057403809,0.0026078251023771027,1.0,0.131840315547183
56,nan,nan,nan,0.011496207008895348,0.015144371631990299,nan,nan,0.08180675183719816,0.004126501940453428,0.0025732721836680098,1.0,0.12355482348476032
57,nan,nan,nan,0.011488923854575143,0.015368290475375064,nan,nan,0.07988690338107794,0.004096775896436404,0.0025616039028189424,1.0,0.15123865034629747
58,nan,nan,nan,0.011470442388524953,0.015474619087968624,nan,nan,0.07452717534025671,0.004088491383931505,0.002610693799976877,1.0,0.12980962895308945
59,nan,nan,nan,0.01137786111834225,0.015339699511196257,nan,nan,0.06855324618254753,0.0042361475918586125,0.002668680616489503,1.0,0.13745891258826082
60,nan,nan,nan,0.011450276341525642,0.015294439096612142,nan,nan,0.06774549466809153,0.004397983222250981,0.002637139445268596,1.0,0.1247895775375274
61,nan,nan,nan,0.011363255068694964,0.015236275265977284,nan,nan,0.06326273316812651,0.00473385328251897,0.0026678998128468697,1.0,0.13659418679604807
62,nan,nan,nan,0.011338626795939395,0.015095694682767693,nan,nan,0.05877945753541089,0.005255155539254697,0.00269766007218898,1.0,0.1299333271058558
63,nan,nan,nan,0.011349481470446458,0.01489188400230812,nan,nan,0.05347099372413533,0.005998463086619071,0.002739769809916183,1.0,0.12747389461158165
64,nan,nan,nan,0.011368570061526943,0.014666676730184808,nan,nan,0.06369952699941975,0.006170293753282188,0.0028586390712712346,1.0,0.1267700687530422
65,nan,nan,nan,0.01137012136013889,0.014450888339447982,nan,nan,0.06810824570457757,0.006211792996437288,0.002882859065550713,1.0,0.12762628847607016
66,nan,nan,nan,0.011601051891243802,0.014392911886143075,nan,nan,0.06899135865858765,0.006232365295251744,0.0028520937407577798,1.0,0.1169438696014411
67,nan,nan,nan,0.01194964645563164,0.014245055471996134,nan,nan,0.07173177682323664,0.006211341821223608,0.0028504016865743133,0.0,0.11230948104899618
68,nan,nan,nan,0.011984904075362913,0.01420730602653954,nan,nan,0.07187428824683298,0.006188618832290888,0.0028099854139925526,1.0,0.12402532367540053
69,nan,nan,nan,0.011911211813359647,0.014135214587327341,nan,nan,0.07039060498081726,0.006183371542486351,0.002790480970639952,1.0,0.13333041183551053
70,nan,nan,nan,0.011895468660894918,0.01401964760357847,nan,nan,0.06896942309188013,0.006198122961350121,0.002770636056412375,1.0,0.12716931912685525
71,nan,nan,nan,0.011868458733044259,0.014112805249343057,nan,nan,0.08538003084382438,0.006251526333023299,0.0029654927949199733,1.0,0.14771000193395478
72,nan,nan,nan,0.012120051566676962,0.014391231856478425,nan,nan,0.08810947592806208,0.006362695238574717,0.002962168179276561,1.0,0.11382890757800057
73,nan,nan,nan,0.012857639819471406,0.014400667559373893,nan,nan,0.09098465255596186,0.006543694273610817,0.0029609599632852168,1.0,0.0987583051130485
74,nan,nan,nan,0.012842120698586852,0.014568126832097466,nan,nan,0.08091958405404232,0.006518809003288865,0.0030582765186089747,1.0,0.12538349958124329
75,nan,nan,nan,0.013035463634081826,0.014531035964083902,nan,nan,0.0791655146126289,0.006481798528720728,0.0030406520986468724,1.0,0.11356009698214953
76,nan,nan,nan,0.013008918990921237,0.014499684715202828,nan,nan,0.07697218216754309,0.00643911789219388,0.0030293545032660583,1.0,0.12573978928015284
77,nan,nan,nan,0.013497085692874966,0.014619444602378205,nan,nan,0.07044621339122287,0.006435677697686117,0.0030753625858062445,0.0,0.10213835313962139
78,nan,nan,nan,0.013549486610457443,0.014646441010218001,nan,nan,0.07135571431364993,0.0064211888077613235,0.0030472345122558656,1.0,0.1188365211456639
79,nan,nan,nan,0.013466049924700012,0.014646299603458224,nan,nan,0.07381858827231816,0.006387497544078355,0.003039742710286793,1.0,0.13347193242861932
80,nan,nan,nan,0.013454129436693902,0.014590290016321067,nan,nan,0.07779200846385988,0.006349139810000132,0.0030515614125811593,1.0,0.12325039020899653
81,nan,nan,nan,0.01346726259052783,0.01443505309940112,nan,nan,0.06824892525912712,0.006375111422055116,0.0031327054349830547,1.0,0.12107905354627113
