setting,dataset,base_model,cp_mode,run_mode,alpha,seed,x_lag,ablation_mode,target_coverage,coverage,coverage_gap,avg_width,ces,rcs,point_mse,point_mae,cache_path,comment
ETTh1_cachecp_modelAutoformer_cpaci_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Autoformer,aci,online,0.1,0,24,M0,0.9,0.899305556,0.000694444444444442,1.005581833028959,0.4634617091350912,0.4617404788975783,0.08747364347239507,0.23571175676253106,forecast_cache/long_term_forecast_ETTh1_cache_Autoformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelAutoformer_cpagaci_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Autoformer,agaci,online,0.1,0,24,M0,0.9,0.902083333,0.002083333333333326,1.0067836856143597,0.46020603582361586,0.4550807349982618,0.08747364347239507,0.23571175676253106,forecast_cache/long_term_forecast_ETTh1_cache_Autoformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelAutoformer_cpacp_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Autoformer,acp,online,0.1,0,24,M0,0.9,0.898958333,0.0010416666666667185,0.6729141389183937,0.52991842878204393,0.46733645586471423,0.08747364347239507,0.23571175676253106,forecast_cache/long_term_forecast_ETTh1_cache_Autoformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelAutoformer_cphopcpt_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Autoformer,hopcpt,online,0.1,0,24,M0,0.9,0.907291667,0.007291666666666696,1.0188595871018205,0.446659460721043,0.4292291371213946,0.08747364347239507,0.23571175676253106,forecast_cache/long_term_forecast_ETTh1_cache_Autoformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelAutoformer_cpdfpi_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Autoformer,dfpi,online,0.1,0,24,M0,0.9,0.903472222,0.00347222222222221,0.9954190850257874,0.460018915091074,0.45153243405142507,0.08747364347239507,0.23571175676253106,forecast_cache/long_term_forecast_ETTh1_cache_Autoformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelAutoformer_cpnex_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Autoformer,nex,online,0.1,0,24,M0,0.9,0.779861111,0.1201388888888889,0.9766404637342526,0.31653786255164597,0.16992572611140533,0.08747364347239507,0.23571175676253106,forecast_cache/long_term_forecast_ETTh1_cache_Autoformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelCrossformer_cpaci_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Crossformer,aci,online,0.1,0,24,M0,0.9,0.845486111,0.05451388888888886,1.0312522812022102,0.40386993488052715,0.3622266951445631,0.1664064215894097,0.3748043611231777,forecast_cache/long_term_forecast_ETTh1_cache_Crossformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelCrossformer_cpagaci_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Crossformer,agaci,online,0.1,0,24,M0,0.9,0.888194444,0.011805555555555625,1.0303063822031961,0.43533528689366424,0.4078185842655168,0.1664064215894097,0.3748043611231777,forecast_cache/long_term_forecast_ETTh1_cache_Crossformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelCrossformer_cpacp_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Crossformer,acp,online,0.1,0,24,M0,0.9,0.876388889,0.023611111111111138,0.5237796157299758,0.56630422122895404,0.36249038012685797,0.1664064215894097,0.3748043611231777,forecast_cache/long_term_forecast_ETTh1_cache_Crossformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelCrossformer_cphopcpt_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Crossformer,hopcpt,online,0.1,0,24,M0,0.9,0.354166667,0.5458333333333334,0.6512859135683314,0.13881893602463052,0.0024412212722179348,0.1664064215894097,0.3748043611231777,forecast_cache/long_term_forecast_ETTh1_cache_Crossformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelCrossformer_cpdfpi_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Crossformer,dfpi,online,0.1,0,24,M0,0.9,0.239930556,0.6600694444444445,0.5342267751693726,0.12177251949705975,0.0008436608834887626,0.1664064215894097,0.3748043611231777,forecast_cache/long_term_forecast_ETTh1_cache_Crossformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelCrossformer_cpnex_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,Crossformer,nex,online,0.1,0,24,M0,0.9,0.884027778,0.015972222222222276,1.0139128441818885,0.4310369220508708,0.3945722710425604,0.1664064215894097,0.3748043611231777,forecast_cache/long_term_forecast_ETTh1_cache_Crossformer_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelDLinear_cpaci_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,DLinear,aci,online,0.1,0,24,M0,0.9,0.889236111,0.010763888888888906,0.39200661060296826,0.6425788963286881,0.619879776683197,0.015393851113294488,0.09114771043467852,forecast_cache/long_term_forecast_ETTh1_cache_DLinear_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelDLinear_cpagaci_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,DLinear,agaci,online,0.1,0,24,M0,0.9,0.89375,0.006249999999999978,0.3902174745295316,0.6626717018325785,0.6494194461576394,0.015393851113294488,0.09114771043467852,forecast_cache/long_term_forecast_ETTh1_cache_DLinear_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelDLinear_cpacp_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,DLinear,acp,online,0.1,0,24,M0,0.9,0.895138889,0.004861111111111094,0.3089255644736623,0.7073349380691387,0.30585295760453884,0.015393851113294488,0.09114771043467852,forecast_cache/long_term_forecast_ETTh1_cache_DLinear_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelDLinear_cphopcpt_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,DLinear,hopcpt,online,0.1,0,24,M0,0.9,0.922569444,0.02256944444444442,0.43503280360962504,0.5802074624165445,0.5327463649040711,0.015393851113294488,0.09114771043467852,forecast_cache/long_term_forecast_ETTh1_cache_DLinear_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
ETTh1_cachecp_modelDLinear_cpdfpi_a0.1_cw200_xlag24_seed0_modeonline_debug-0_M0,ETTh1,DLinear,dfpi,online,0.1,0,24,M0,0.9,0.954513889,0.05451388888888886,0.49939897656440735,0.4724507140551713,0.3689259652882512,0.015393851113294488,0.09114771043467852,forecast_cache/long_term_forecast_ETTh1_cache_DLinear_ETTh1_ftMS_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_ETTh1_0/forecast_full.npz,
