t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,1.0,0.29975806433739427
2,nan,nan,nan,4.9331412341535597e-05,9.866282468307119e-05,nan,nan,0.1,0.0,0.0,0.0,0.29985672716207734
3,nan,nan,nan,0.0007915384823156995,0.0008631313428710818,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.30148432702313643
4,nan,nan,nan,0.0008449994938753464,0.0005831196462027973,nan,nan,0.1,0.0,0.0,1.0,0.30150742327600266
5,nan,nan,nan,0.0008813717855951736,0.0005067852488011004,nan,nan,0.1,0.0,0.0,1.0,0.30178520533259867
6,nan,nan,nan,0.0009310494430280132,0.00047548849741776424,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.3021355068244831
7,nan,nan,nan,0.0008957715365624064,0.0004547737740205153,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.3017843066674488
8,nan,nan,nan,0.0008429467844209371,0.0005147988863962409,nan,nan,0.1,0.0,0.0,1.0,0.3009093571067982
9,nan,nan,nan,0.000868477482506278,0.000559335774286851,nan,nan,0.1,0.0,0.0,1.0,0.3000382631172771
10,nan,nan,nan,0.0008489489201227684,0.0005314461120058647,nan,nan,0.1,0.0,0.0,1.0,0.3003465919310351
11,nan,nan,nan,0.0008277735701750365,0.0004794362029345578,nan,nan,0.1,0.0,0.0,1.0,0.3003579389523279
12,nan,nan,nan,0.0008377029318498726,0.0004753033879150159,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.2999239637146083
13,nan,nan,nan,0.0008288705013250652,0.0004487300568617088,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.3000803871298836
14,nan,nan,nan,0.0008167751667407514,0.0004159994721993995,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.3001036195861353
15,nan,nan,nan,0.0007903028138598032,0.0004428552308856875,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.3008955996799427
16,nan,nan,nan,0.0007667261320726319,0.0004156527902382005,nan,nan,0.1,0.0,0.0,1.0,0.3009304183011161
17,nan,nan,nan,0.0007456434618848907,0.00039179011969545097,nan,nan,0.1,0.0,0.0,1.0,0.3009642683626703
18,nan,nan,nan,0.0009473968688080874,0.0005376864500809444,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.2980922406264215
19,nan,nan,nan,0.0010598490465989659,0.0005176257540346896,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.29826883454766984
20,nan,nan,nan,0.0010985970698583081,0.0005167522045038967,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.29876986286061946
21,nan,nan,nan,0.0011575530964470567,0.0005118975679272442,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.2983502033876486
22,nan,nan,nan,0.001229525743486451,0.0005048574846283891,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.29798614756899733
23,nan,nan,nan,0.001341273828897144,0.0005138561116828845,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.29728332028917004
24,nan,nan,nan,0.001577703865233117,0.0005606662488382828,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.295692831022913
25,nan,nan,nan,0.0019199913053760652,0.0006046524715059842,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.2940764954300499
26,nan,nan,nan,0.0023323225293078774,0.0006436568228374817,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.29249673417525646
27,nan,nan,nan,0.002636925313673608,0.0006208788526928222,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.2924453045761801
28,nan,nan,nan,0.0028010743027365517,0.000632027286496814,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.2933671911415807
29,nan,nan,nan,0.0029826849312844014,0.0006361870471109128,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.29261869055788914
30,nan,nan,nan,0.003119362590501535,0.0006197072876067832,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.2927769645793803
