t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,1.0,0.16035819053649902
2,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.16035819053649902
3,nan,nan,nan,0.008398799188058904,0.008908271789550781,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.17817473411560059
4,nan,nan,nan,0.008908271789550781,0.0059388478597005205,nan,nan,0.1,0.0,0.0,1.0,0.17817473411560059
5,nan,nan,nan,0.008728288149771753,0.004454135894775391,nan,nan,0.1,0.0,0.0,1.0,0.17817473411560059
6,nan,nan,nan,0.00805274728154861,0.004362583160400391,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.1741783618927002
7,nan,nan,nan,0.007511066449945059,0.0036354859670003257,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.1741783618927002
8,nan,nan,nan,0.007357102872548332,0.003739425114222935,nan,nan,0.1,0.0,0.0,1.0,0.1785414218902588
9,nan,nan,nan,0.00716977656997307,0.0032719969749450684,nan,nan,0.1,0.0,0.0,1.0,0.1785414218902588
10,nan,nan,nan,0.00697394949144003,0.0029084417555067274,nan,nan,0.1,0.0,0.0,1.0,0.1785414218902588
11,nan,nan,nan,0.0067608504543449095,0.002654266357421875,nan,nan,0.1,0.0,0.0,1.0,0.17817473411560059
12,nan,nan,nan,0.00656061733558884,0.002412969415838068,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.17817473411560059
13,nan,nan,nan,0.006373581098172719,0.002211888631184896,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.17817473411560059
14,nan,nan,nan,0.006199247978752298,0.002041743351862981,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.17817473411560059
15,nan,nan,nan,0.0059938162524272864,0.002181359699794224,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.1741783618927002
16,nan,nan,nan,0.00580752898054712,0.002035935719807943,nan,nan,0.1,0.0,0.0,1.0,0.1741783618927002
17,nan,nan,nan,0.006362648780320439,0.002641528844833374,nan,nan,0.1,0.0,0.0,1.0,0.16245293617248535
18,nan,nan,nan,0.006750659441920748,0.0024861447951372933,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.16245293617248535
19,nan,nan,nan,0.007207220388279843,0.0024644003974066842,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.16035819053649902
20,nan,nan,nan,0.0075396372647766816,0.002334695113332648,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.16035819053649902
21,nan,nan,nan,0.007784674574631764,0.0022179603576660155,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.16035819053649902
22,nan,nan,nan,0.008139707410425114,0.0022338912600562686,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.1578056812286377
