t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,1.0,0.21890257060971807
2,nan,nan,nan,0.01204291015462955,0.0240858203092591,nan,nan,0.1,0.0,0.0,0.0,0.19481675030045897
3,nan,nan,nan,0.01877555738778162,0.035029417129308404,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.24078976424981668
4,nan,nan,nan,0.016497272977036025,0.02874732979533423,nan,nan,0.1,0.0,0.0,1.0,0.2246066091224308
5,nan,nan,nan,0.0341889627269341,0.03962909840404816,nan,nan,0.1,0.0,0.0,1.0,0.29688101335262074
6,nan,nan,nan,0.032214478430905524,0.04832284473785107,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.21378318327955803
7,nan,nan,nan,0.0299950157862446,0.04172373038368667,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.22251134189242272
8,nan,nan,nan,0.028200390029179494,0.035870199377258265,nan,nan,0.1,0.0,0.0,1.0,0.2217623285537349
9,nan,nan,nan,0.02924098718788658,0.03716424734502566,nan,nan,0.1,0.0,0.0,1.0,0.2679849116731323
10,nan,nan,nan,0.030105139454418943,0.03354159012012096,nan,nan,0.1,0.0,0.0,1.0,0.2725452439940157
11,nan,nan,nan,0.028704619615916457,0.033754780845938415,nan,nan,0.1,0.0,0.0,1.0,0.2368717466157202
12,nan,nan,nan,0.029359424674685327,0.034035038326327746,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.20003413348549914
13,nan,nan,nan,0.03236384569929483,0.033306042253637945,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.17474704803144903
14,nan,nan,nan,0.03880759886091205,0.04187043045089847,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.3193901368494738
15,nan,nan,nan,0.038384985059888146,0.042470344799414264,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.2691209055193542
16,nan,nan,nan,0.03927263711925859,0.045187429803220255,nan,nan,0.1,0.0,0.0,1.0,0.18589428566285005
17,nan,nan,nan,0.03833866748063085,0.046569247523825213,nan,nan,0.1,0.0,0.0,1.0,0.2531907989957496
18,nan,nan,nan,0.03756780438308139,0.04607021963311861,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.21510502561393663
19,nan,nan,nan,0.03887912668944126,0.047899588499908864,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.29410388484927985
20,nan,nan,nan,0.03790835768274424,0.048574355848878585,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.2333837167189463
21,nan,nan,nan,0.03730456650189657,0.047050194268526746,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.21529259247710453
22,nan,nan,nan,0.03789218058970797,0.0461576381188139,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.18698607735254758
23,nan,nan,nan,0.0375664772206851,0.04484739944116944,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.20431846456318326
24,nan,nan,nan,0.038719929045877614,0.04678831452055393,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.29380691083019617
25,nan,nan,nan,0.0391394696745655,0.04521338208148181,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.2848169748473732
26,nan,nan,nan,0.03938267288318098,0.04712808611399964,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.19173599195294555
27,nan,nan,nan,0.03998211468114462,0.045703949227171886,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.18163546489646754
28,nan,nan,nan,0.03959407471681892,0.046968358806535174,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.2614784727664481
29,nan,nan,nan,0.040868823860991964,0.046790393883622654,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.3034638137314327
30,nan,nan,nan,0.040246651752817,0.047022140518026945,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.24995276745008566
