t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,1.0,0.523254513688782
2,nan,nan,nan,0.0002052395932082285,0.000410479186416457,nan,nan,0.1,0.0,0.0,1.0,0.5228440345023655
3,nan,nan,nan,0.0010458277311696104,0.0011975547858745217,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5208594041170329
4,nan,nan,nan,0.001245866327414769,0.0009702899579924577,nan,nan,0.1,0.0,0.0,1.0,0.5203436438148046
5,nan,nan,nan,0.0018165838943033,0.0012539371140656563,nan,nan,0.1,0.0,0.0,1.0,0.5182387652325193
6,nan,nan,nan,0.0022862105473767215,0.001273866287789005,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5168851822498369
7,nan,nan,nan,0.002750519512622755,0.0013116437133349572,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5153846514087722
8,nan,nan,nan,0.0029910620482958687,0.0011685198389842183,nan,nan,0.1,0.0,0.0,1.0,0.5150748748158924
9,nan,nan,nan,0.0031862126752072346,0.001107879535726622,nan,nan,0.1,0.0,0.0,1.0,0.514391477402969
10,nan,nan,nan,0.003487941379624736,0.0011632834857696,nan,nan,0.1,0.0,0.0,1.0,0.5127849623168556
11,nan,nan,nan,0.0038778380292314985,0.0012186100866999118,nan,nan,0.1,0.0,0.0,1.0,0.5110684128217828
12,nan,nan,nan,0.004208344992315727,0.0011861631040033843,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5102067195447447
13,nan,nan,nan,0.0044311432462136235,0.0011067055345799308,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5099740472738228
14,nan,nan,nan,0.00456729633359312,0.001022620012520369,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5099604535260172
15,nan,nan,nan,0.0046411688941638395,0.0009549685411572385,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.5100359529394537
16,nan,nan,nan,0.004576873928717468,0.0010111856309897933,nan,nan,0.1,0.0,0.0,1.0,0.5118341778280993
17,nan,nan,nan,0.004466674675576918,0.0010291820989259473,nan,nan,0.1,0.0,0.0,1.0,0.5131333069460675
18,nan,nan,nan,0.004392494185221001,0.0010269281503014302,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5121424419737584
19,nan,nan,nan,0.004364045145465918,0.0010338106246655593,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5109916292849026
20,nan,nan,nan,0.004308369677696036,0.001009425595549314,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.5115621243563595
21,nan,nan,nan,0.004270324755814737,0.0009849445047556249,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.511042320576684
22,nan,nan,nan,0.004430968822615361,0.0011201643129030556,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.5072177601008323
23,nan,nan,nan,0.004819151524724147,0.0012283137814579751,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.503718307479721
24,nan,nan,nan,0.005455907817690958,0.001341268512885475,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.49989203487543055
25,nan,nan,nan,0.0062435293467586065,0.0014236438311489065,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.4965737587242227
26,nan,nan,nan,0.006997756318938183,0.0014395243691809156,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.4947531014422736
27,nan,nan,nan,0.007807830819306661,0.001489160884312275,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.4920230276796773
28,nan,nan,nan,0.008376745433653717,0.0014623430223537441,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.49278810629110925
29,nan,nan,nan,0.008842572475556924,0.0014164075890068714,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.49261195540246794
30,nan,nan,nan,0.00911488032398901,0.0014312002143192868,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.49445734912553485
31,nan,nan,nan,0.00924906293981571,0.0014470744692128945,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.49636477698666237
32,nan,nan,nan,0.009385968164714147,0.001423431239158632,nan,nan,0.1,0.0,0.0,0.0,0.4956506426491316
33,nan,nan,nan,0.009416450115655907,0.0014483680367560516,nan,nan,0.1,0.0,0.0,0.0,0.49787205141140767
34,nan,nan,nan,0.009351215905755054,0.001502194422977317,nan,nan,0.1,0.0,0.0,0.0,0.5010966901934655
35,nan,nan,nan,0.009218200166037608,0.0016269966045269952,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.5068421587891319
36,nan,nan,nan,0.009135658956283287,0.0017684558689212164,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.5134202296474566
37,nan,nan,nan,0.009132713224738577,0.0018224075886081419,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.5171309474251071
