t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,1.0,0.12528033651586834
2,nan,nan,nan,0.0009500915590685555,0.001900183118137111,nan,nan,0.1,0.0,0.0,0.0,0.12338015339773123
3,nan,nan,nan,0.006920982371423656,0.008719689492833527,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.13891934926526117
4,nan,nan,nan,0.007104821552799645,0.006118435137764185,nan,nan,0.1,0.0,0.0,1.0,0.13800342283763567
5,nan,nan,nan,0.006594947487237449,0.005138432832657358,nan,nan,0.1,0.0,0.0,1.0,0.1358049969202988
6,nan,nan,nan,0.006075891259467697,0.004376284437192668,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.13447730606496489
7,nan,nan,nan,0.005628997429876629,0.00405110403830015,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.13205210402112733
8,nan,nan,nan,0.00563884669291395,0.004416509181382811,nan,nan,0.1,0.0,0.0,1.0,0.1386610440610061
9,nan,nan,nan,0.005436458405359841,0.004079776723714068,nan,nan,0.1,0.0,0.0,1.0,0.13693839454097323
10,nan,nan,nan,0.005168221376330479,0.0038602476700230572,nan,nan,0.1,0.0,0.0,1.0,0.13483437930047826
11,nan,nan,nan,0.004930990107768615,0.003636739375359954,nan,nan,0.1,0.0,0.0,1.0,0.13320921457708623
12,nan,nan,nan,0.0047316930138020935,0.0033586586410166886,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.1326313632795022
13,nan,nan,nan,0.004703788762441838,0.0033688982237305987,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.1291498296459186
14,nan,nan,nan,0.004796737279162513,0.0032566917653183555,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.12723961538154716
15,nan,nan,nan,0.005074183098229886,0.0032117450663385417,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.12461217740194619
16,nan,nan,nan,0.00573528200009016,0.004328161684413611,nan,nan,0.1,0.0,0.0,1.0,0.14457017173941078
17,nan,nan,nan,0.005923213200695423,0.004234351176580789,nan,nan,0.1,0.0,0.0,1.0,0.14174297818032233
18,nan,nan,nan,0.0058180433502714336,0.0042461673127027364,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.13730775268966844
19,nan,nan,nan,0.005689983043832647,0.004065824358818736,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.1363077585468777
20,nan,nan,nan,0.005546592638011169,0.00399674816997454,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.13355438177609869
21,nan,nan,nan,0.0054151093492943985,0.0038140865572689033,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.1332108658602369
22,nan,nan,nan,0.005337185199853482,0.00376051950504206,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.1305216873997317
23,nan,nan,nan,0.005330620398248062,0.003683969246434074,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.12844527358406532
24,nan,nan,nan,0.005458856573623187,0.0036519992102077956,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.12549661517083566
25,nan,nan,nan,0.005642174626681358,0.0035616006509073725,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.12401418138383802
26,nan,nan,nan,0.0059241658143416665,0.0035076668434226564,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.12180092592004854
27,nan,nan,nan,0.0064127127207657545,0.0035167182486965844,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.11805792253950376
28,nan,nan,nan,0.006313186224561305,0.003987386828345713,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.13428269243872681
29,nan,nan,nan,0.00620714301880791,0.0038861295086692416,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.1331305105613223
30,nan,nan,nan,0.006107569625393765,0.0038378306000227745,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.1306450494034006
31,nan,nan,nan,0.0060202947498210375,0.003738447600727146,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.1297887087822467
32,nan,nan,nan,0.005993499637300243,0.0037175413048576677,nan,nan,0.1,0.0,0.0,1.0,0.12669835635347337
33,nan,nan,nan,0.005997841567846642,0.0036394023396478375,nan,nan,0.1,0.0,0.0,0.0,0.12548126193533027
34,nan,nan,nan,0.006124977980186495,0.0040013522691439915,nan,nan,0.1,0.0,0.0,1.0,0.1410650119483512
35,nan,nan,nan,0.0061940588224545885,0.003911257743015739,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.1401268735675678
36,nan,nan,nan,0.006154569826697469,0.003898335508973526,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.13666789401602952
37,nan,nan,nan,0.006098448235851506,0.0038156910446423675,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.13574475922297768
38,nan,nan,nan,0.006019436108611475,0.003781960790708691,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.13317708757388136
39,nan,nan,nan,0.007600739438408241,0.004448248335221663,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.162277975056083
40,nan,nan,nan,0.009687476753941698,0.004590987602310464,nan,nan,0.1,0.0,0.0,1.0,0.1722930548077679
41,nan,nan,nan,0.011150250447281842,0.004504787055252413,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.1711500890877795
42,nan,nan,nan,0.01506097549853948,0.0051548316480618745,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.20230670444821985
43,nan,nan,nan,0.021761153866035936,0.005974200465659847,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.2418750264353966
44,nan,nan,nan,0.02561920032094253,0.006056764068433127,nan,nan,0.1,4.163336342344337e-17,0.0,1.0,0.23235059105048572
45,nan,nan,nan,0.027900304546692015,0.0061900580678727205,nan,nan,0.1,4.163336342344337e-17,0.0,1.0,0.22042889100671048
46,nan,nan,nan,0.028785792158376244,0.006527347229156306,nan,nan,0.1,5.551115123125783e-17,0.0,1.0,0.19906082068107644
47,nan,nan,nan,0.029205682724973425,0.006604089017265265,nan,nan,0.1,5.551115123125783e-17,0.0,1.0,0.189003351198908
48,nan,nan,nan,0.029474602469157514,0.0065356923742148736,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.18561390440501113
49,nan,nan,nan,0.029550329847905208,0.006532588470514346,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.17922719940842158
50,nan,nan,nan,0.03056118183778692,0.007022395535397697,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.20976033405822014
51,nan,nan,nan,0.03127961368076409,0.00697760324289407,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.2049775531480038
52,nan,nan,nan,0.03191241014892007,0.006844181816064673,nan,nan,0.1,4.163336342344337e-17,0.0,1.0,0.20480444267340903
53,nan,nan,nan,0.03409624761019806,0.007465995369062694,nan,nan,0.1,4.163336342344337e-17,0.0,1.0,0.2439829292453708
54,nan,nan,nan,0.03561695901787847,0.007483616075498921,nan,nan,0.1,4.163336342344337e-17,0.0,1.0,0.23558303643518808
55,nan,nan,nan,0.036425434771948054,0.007617775075451595,nan,nan,0.1,5.551115123125783e-17,0.0,1.0,0.22085483436224473
56,nan,nan,nan,0.03648478113419805,0.00795730248738789,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.19456305163029697
57,nan,nan,nan,0.03641783325661959,0.007931625285327438,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.18804367245829434
58,nan,nan,nan,0.03622646312136566,0.007953205250204215,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.17888198917499065
59,nan,nan,nan,0.03599024253369917,0.007901694570068028,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.1739164033726852
