t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.3,nan,nan,1.0,0.18552970955196368
2,nan,nan,nan,0.0008274957555514106,0.0016549915111028213,nan,nan,0.3,0.0,0.0,0.0,0.1871847010630665
3,nan,nan,nan,0.0008774627473798921,0.001007567347882321,nan,nan,0.3,0.0,0.0,1.0,0.18754484424772833
4,nan,nan,nan,0.0008336643064240557,0.0006717115652548807,nan,nan,0.3,0.0,0.0,1.0,0.18754484424772833
5,nan,nan,nan,0.0029973382132041228,0.002169771668529108,nan,nan,0.29987229726770903,5.108109291638296e-05,3.192568307273935e-05,1.0,0.19420879622608012
6,nan,nan,nan,0.002837302549092002,0.0032999423497050984,nan,nan,0.2999965520262281,4.735174244284965e-05,5.039149816200572e-05,1.0,0.18638817115167106
7,nan,nan,nan,0.0027469533983499857,0.002852840945007077,nan,nan,0.2999999069047081,4.4495874557007034e-05,4.2552061548341756e-05,1.0,0.18577083723015408
8,nan,nan,nan,0.002715807503805336,0.0025439478156745743,nan,nan,0.2999999974864271,4.208129874570055e-05,3.648613585842992e-05,1.0,0.18508024819047453
9,nan,nan,nan,0.004877132538394531,0.004167765459208883,nan,nan,0.29999999993213355,4.000823252941552e-05,3.1925674589435016e-05,1.0,0.20061473715442357
10,nan,nan,nan,0.004674300555920492,0.005255236047651114,nan,nan,0.29999999999816757,3.82064440677376e-05,2.8378384749943526e-05,1.0,0.1866597363992346
11,nan,nan,nan,0.004853708666552991,0.005199133220164453,nan,nan,0.29999999999995053,3.6623291356967474e-05,2.554054645324544e-05,0.0,0.1819655286264501
12,nan,nan,nan,0.00503959229666387,0.004815201452583598,nan,nan,0.29999999999999866,3.521886005142134e-05,2.3218678598234778e-05,1.0,0.18098964484967506
13,nan,nan,nan,0.00717096290050158,0.0066070601716363515,nan,nan,0.29999999999999993,3.396246552520368e-05,2.1283788715154944e-05,1.0,0.2073071509308917
14,nan,nan,nan,0.007118419214876364,0.006997728104424296,nan,nan,0.3,3.2830173476686076e-05,1.964657419860883e-05,1.0,0.19562140763301206
15,nan,nan,nan,0.00745159466925335,0.0068792472441837615,nan,nan,0.3,3.1803051004622306e-05,1.8243247470136774e-05,1.0,0.20096040369406887
16,nan,nan,nan,0.007327320240383261,0.006784316219658537,nan,nan,0.3,3.086592395707643e-05,1.7027030972127655e-05,1.0,0.19550512181776347
17,nan,nan,nan,0.00720334342176302,0.006360296455929879,nan,nan,0.3,3.000648326901046e-05,1.5962841536369676e-05,1.0,0.19550512181776347
18,nan,nan,nan,0.007194621294188732,0.006138499547562783,nan,nan,0.3,2.9214633418025667e-05,1.5023850857759695e-05,1.0,0.19809487083145272
19,nan,nan,nan,0.007066936649100898,0.005941346740125364,nan,nan,0.3,2.8482010753236544e-05,1.4189192476773046e-05,1.0,0.19550512181776347
20,nan,nan,nan,0.006943838293281226,0.005628644280118766,nan,nan,0.3,2.780162257514859e-05,1.3442392872732359e-05,1.0,0.19550512181776347
21,nan,nan,nan,0.007139615068564195,0.00568345978049557,nan,nan,0.3,2.7167573214504467e-05,1.277027322909574e-05,1.0,0.20223007610541832
22,nan,nan,nan,0.00712006004685794,0.005565166870668257,nan,nan,0.3,2.657485362942718e-05,1.2162164980091181e-05,1.0,0.19903076743129633
23,nan,nan,nan,0.00723921445234675,0.005455856633531764,nan,nan,0.3,2.6019177971984405e-05,1.1609339299177947e-05,1.0,0.20219110908496174
24,nan,nan,nan,0.0071355038197515545,0.005441057025665388,nan,nan,0.3,2.5496855308801314e-05,1.1104585416604992e-05,1.0,0.19707564343235662
25,nan,nan,nan,0.007163069147590264,0.005379532104141845,nan,nan,0.3,2.5004687953364987e-05,1.0641894357579784e-05,1.0,0.20104010234145697
26,nan,nan,nan,0.00703111456809769,0.005403943285857995,nan,nan,0.3,2.453989015943147e-05,1.0216218583276593e-05,1.0,0.19505029069441138
27,nan,nan,nan,0.006906168162097544,0.005196099313324995,nan,nan,0.3,2.410002254948742e-05,9.823287099304416e-06,1.0,0.19505029069441138
