t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,1.0,0.7741317749023438
2,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,1.0,0.7741317749023438
3,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.7741317749023438
4,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,1.0,0.7741317749023438
5,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,1.0,0.7741317749023438
6,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.7741317749023438
7,nan,nan,nan,6.399013766951893e-05,3.047784169514974e-05,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.7739489078521729
8,nan,nan,nan,7.918375548156076e-05,2.6123864310128348e-05,nan,nan,0.1,0.0,0.0,1.0,0.7739489078521729
9,nan,nan,nan,8.620435415428193e-05,2.2858381271362305e-05,nan,nan,0.1,0.0,0.0,1.0,0.7739489078521729
10,nan,nan,nan,8.95861927373265e-05,2.0318561130099828e-05,nan,nan,0.1,0.0,0.0,1.0,0.7739489078521729
11,nan,nan,nan,9.105491673002728e-05,1.8286705017089844e-05,nan,nan,0.1,0.0,0.0,1.0,0.7739489078521729
12,nan,nan,nan,9.143352508544922e-05,1.6624277288263496e-05,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.7739489078521729
13,nan,nan,nan,9.116261034156412e-05,1.523892084757487e-05,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.7739489078521729
14,nan,nan,nan,9.049572055035516e-05,1.4066696166992188e-05,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.7739489078521729
15,nan,nan,nan,8.95861927373265e-05,1.3061932155064174e-05,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.7739489078521729
16,nan,nan,nan,8.853012998524573e-05,1.2191136678059896e-05,nan,nan,0.1,0.0,0.0,1.0,0.7739489078521729
17,nan,nan,nan,8.738934932534529e-05,1.1429190635681152e-05,nan,nan,0.1,0.0,0.0,1.0,0.7739489078521729
18,nan,nan,nan,0.001422337437915242,0.0003715683432186351,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.767815113067627
