t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.3,nan,nan,1.0,0.2924627619342013
2,nan,nan,nan,0.004084915291524993,0.008169830583049986,nan,nan,0.3,0.0,0.0,1.0,0.2842929313511513
3,nan,nan,nan,0.0038665232151601303,0.008201945734477967,nan,nan,0.2999488917676949,2.4092651758255786e-05,2.5554116152542994e-05,1.0,0.29252699223705725
4,nan,nan,nan,0.006370850857600121,0.010562231696354063,nan,nan,0.29999862007772776,2.193857334750289e-05,3.3612180779315125e-05,1.0,0.277244188616951
5,nan,nan,nan,0.007728863416958955,0.008838293126412877,nan,nan,0.2999999627420986,2.0308486855341923e-05,2.554480167719919e-05,1.0,0.2735777112003617
6,nan,nan,nan,0.00884945473786202,0.00784863272332248,nan,nan,0.2999999989940367,1.8947821092559453e-05,2.0443091729371864e-05,1.0,0.2696877200894008
7,nan,nan,nan,0.009197539485065461,0.006540527269435399,nan,nan,0.299999999972839,1.780774390152861e-05,1.703607290819605e-05,1.0,0.2696877200894008
8,nan,nan,nan,0.008616442017752123,0.0068648991768421085,nan,nan,0.29999999999926663,1.6841461257864488e-05,1.4602351982402023e-05,1.0,0.27849885071068314
9,nan,nan,nan,0.008326914076822086,0.006578031037379473,nan,nan,0.29999999999998017,1.6011795532106055e-05,1.2777058073794312e-05,1.0,0.2739288966495421
10,nan,nan,nan,0.008389183672815432,0.0063183805399085686,nan,nan,0.29999999999999943,1.5290697261097446e-05,1.1357384956624096e-05,1.0,0.2696877200894008
11,nan,nan,nan,0.008418855815271945,0.0057528741109024615,nan,nan,0.3,1.4657099725807789e-05,1.0221646461017197e-05,1.0,0.2690244038395533
12,nan,nan,nan,0.008380875208727769,0.005229885555365874,nan,nan,0.3,1.4095028733819685e-05,9.292405873651997e-06,1.0,0.2690244038395533
13,nan,nan,nan,0.008303673823797084,0.0047940617590853845,nan,nan,0.3,1.3592203914328719e-05,8.518038717514331e-06,1.0,0.2690244038395533
14,nan,nan,nan,0.008148547840705296,0.005425929866731729,nan,nan,0.3,1.3139046460179692e-05,7.862804970013228e-06,1.0,0.28203275099804115
15,nan,nan,nan,0.007879166286226081,0.005340535904958136,nan,nan,0.3,1.2727979187253916e-05,7.3011760435837125e-06,0.0,0.27780233659613973
16,nan,nan,nan,0.00763324705775927,0.00513722797249699,nan,nan,0.3,1.2352929209965767e-05,6.814430974011465e-06,1.0,0.2755114196780988
17,nan,nan,nan,0.007431938941055591,0.004921183715944688,nan,nan,0.3,1.200897028637716e-05,6.3885290381357485e-06,1.0,0.2738308998104386
18,nan,nan,nan,0.0072464029377642385,0.004930401588309165,nan,nan,0.3,1.1692062062027856e-05,6.012733212363058e-06,1.0,0.2789087873565794
19,nan,nan,nan,0.007075446215811629,0.004661612754925431,nan,nan,0.3,1.139885729912031e-05,5.678692478342888e-06,1.0,0.27900098994398137
20,nan,nan,nan,0.006923006017880594,0.004688374722221079,nan,nan,0.3,1.1126557431767998e-05,5.379813926851157e-06,1.0,0.2738308998104386
