t,cov_w,gap_w,width_mean_w,width_std_w,width_step_mean_w,ces_w,rcs_w,control_state,control_std_w,control_step_mean_w,covered_t,width_t
1,nan,nan,nan,nan,nan,nan,nan,0.1,nan,nan,0.0,0.4505951404571533
2,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,1.0,0.4505951404571533
3,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.4505951404571533
4,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,1.0,0.4505951404571533
5,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,1.0,0.4505951404571533
6,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.4505951404571533
7,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.4505951404571533
8,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,1.0,0.4505951404571533
9,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,1.0,0.4505951404571533
10,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,1.0,0.4505951404571533
11,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.4505951404571533
12,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.4505951404571533
13,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.4505951404571533
14,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.4505951404571533
15,nan,nan,nan,0.0,0.0,nan,nan,0.1,2.7755575615628914e-17,0.0,0.0,0.4505951404571533
16,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.4505951404571533
17,nan,nan,nan,0.0,0.0,nan,nan,0.1,0.0,0.0,0.0,0.4505951404571533
18,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.4505951404571533
19,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.4505951404571533
20,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.4505951404571533
21,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.4505951404571533
22,nan,nan,nan,0.0,0.0,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.4505951404571533
23,nan,nan,nan,0.0,0.0,nan,nan,0.1,2.7755575615628914e-17,0.0,1.0,0.4505951404571533
24,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,1.0,0.4505951404571533
25,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.4505951404571533
26,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.4505951404571533
27,nan,nan,nan,0.0,0.0,nan,nan,0.1,1.3877787807814457e-17,0.0,0.0,0.4505951404571533
